Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1877    0.010    0.000    0.017    0.000 functools.py:35(update_wrapper)
      191    0.000    0.000    0.058    0.000 traceback.py:318(line)
       44    0.000    0.000    0.000    0.000 functools.py:821(dispatch)
        4    0.000    0.000    0.000    0.000 _compiler.py:412(_generate_overlap_table)
        6    0.000    0.000    0.000    0.000 _parser.py:1004(addliteral)
      138    0.000    0.000    0.000    0.000 enum.py:1184(__init__)
     2958    0.001    0.000    0.001    0.000 enum.py:1272(__deepcopy__)
      238    0.000    0.000    0.001    0.000 __init__.py:255(escape)
      204    0.000    0.000    0.000    0.000 enum.py:1543(_get_value)
        6    0.000    0.000    0.000    0.000 _compiler.py:391(_mk_bitmap)
       34    0.000    0.000    0.020    0.001 _compiler.py:578(_code)
       29    0.000    0.000    0.068    0.002 traceback.py:221(extract_stack)
      117    0.000    0.000    0.075    0.001 linecache.py:36(getlines)
  2673/15    0.002    0.000    0.005    0.000 __init__.py:73(import_module)
      962    0.002    0.000    0.057    0.000 inspect.py:976(getabsfile)
     2840    0.004    0.000    0.010    0.000 inspect.py:1806(_check_class)
       39    0.000    0.000    0.001    0.000 ast.py:34(parse)
        1    0.000    0.000    0.000    0.000 functools.py:864(<lambda>)
     2113    0.002    0.000    0.002    0.000 __init__.py:1006(__missing__)
        1    0.000    0.000    0.001    0.001 __init__.py:240(<lambda>)
        1    0.000    0.000    0.000    0.000 functools.py:844(_is_union_type)
       41    0.000    0.000    0.002    0.000 _parser.py:98(closegroup)
      361    0.000    0.000    0.000    0.000 _parser.py:113(__init__)
      535    0.000    0.000    0.000    0.000 _parser.py:164(__len__)
       72    0.000    0.000    0.000    0.000 __init__.py:429(<genexpr>)
       59    0.000    0.000    0.000    0.000 _parser.py:172(__setitem__)
      223    0.000    0.000    0.000    0.000 __init__.py:999(__init__)
    31178    0.028    0.000    0.046    0.000 copyreg.py:98(__newobj__)
       70    0.000    0.000    0.001    0.000 contextlib.py:272(contextmanager)
     8320    0.015    0.000    0.027    0.000 <string>:1(<lambda>)
      180    0.000    0.000    0.000    0.000 textwrap.py:479(predicate)
      104    0.001    0.000    0.061    0.001 linecache.py:26(getline)
      204    0.000    0.000    0.000    0.000 textwrap.py:482(prefixed_lines)
